date,value
1994-01-31,1423.210476190476
1994-02-28,1424.0049999999997
1994-03-31,1387.0704347826086
1994-04-30,1409.0142857142855
1994-05-31,1413.696363636364
1994-06-30,1324.9872727272725
1994-07-31,1328.102857142857
1994-08-31,1374.303043478261
1994-09-30,1341.773181818182
1994-10-31,1300.9290476190477
1994-11-30,1320.9995454545451
1994-12-31,1319.0968181818184
1995-01-31,1306.8731818181816
1995-02-28,1328.846
1995-03-31,1295.3839130434783
1995-04-30,1324.1225
1995-05-31,1379.0234782608695
1995-06-30,1383.5204545454546
1995-07-31,1420.5676190476192
1995-08-31,1448.534347826087
1995-09-30,1445.9095238095233
1995-10-31,1403.895909090909
1995-11-30,1432.940909090909
1995-12-31,1486.307619047619
1996-01-31,1556.2139130434782
1996-02-29,1587.5809523809526
1996-03-31,1594.012857142857
1996-04-30,1645.4559090909088
1996-05-31,1672.271304347826
1996-06-30,1667.2085
1996-07-31,1613.7121739130434
1996-08-31,1620.2022727272729
1996-09-30,1644.4595238095242
1996-10-31,1714.0334782608695
1996-11-30,1760.795714285715
1996-12-31,1816.1009090909088
1997-01-31,1932.3560869565224
1997-02-28,2070.8415
1997-03-31,2122.853333333333
1997-04-30,2096.547727272727
1997-05-31,2241.6313636363634
1997-06-30,2350.2319047619044
1997-07-31,2567.7386956521736
1997-08-31,2564.779047619048
1997-09-30,2511.0313636363635
1997-10-31,2510.696956521739
1997-11-30,2367.9425
1997-12-31,2474.447826086957
1998-01-31,2572.522272727272
1998-02-28,2762.1255
1998-03-31,3029.0236363636363
1998-04-30,3239.139545454546
1998-05-31,3312.448571428572
1998-06-30,3355.576818181819
1998-07-31,3552.030869565217
1998-08-31,3257.715238095237
1998-09-30,2881.7959090909094
1998-10-31,2701.0209090909093
1998-11-30,3042.1757142857145
1998-12-31,3171.062173913044
1999-01-31,3504.3614285714284
1999-02-28,3450.8705
1999-03-31,3524.1934782608696
1999-04-30,3671.7954545454554
1999-05-31,3669.730476190476
1999-06-30,3749.450454545455
1999-07-31,3846.235909090909
1999-08-31,3691.325909090909
1999-09-30,3772.7922727272726
1999-10-31,3742.6171428571433
1999-11-30,4159.973090909091
1999-12-31,4590.107739130433
2000-01-31,4714.703523809523
2000-02-29,5089.757047619047
2000-03-31,5317.080521739131
2000-04-30,5149.1464
2000-05-31,5174.729565217392
2000-06-30,5275.064772727273
2000-07-31,5227.821619047619
2000-08-31,5151.959956521739
2000-09-30,5132.913333333333
2000-10-31,4893.242863636364
2000-11-30,4962.717727272726
2000-12-31,4787.135095238095
2001-01-31,4729.652869565218
2001-02-28,4525.8688
2001-03-31,4199.158590909091
2001-04-30,4307.638
2001-05-31,4481.866695652174
2001-06-30,4289.678761904762
2001-07-31,4037.825863636364
2001-08-31,3884.627913043479
2001-09-30,3276.9981
2001-10-31,3440.914
2001-11-30,3674.629681818182
2001-12-31,3711.086047619048
2002-01-31,3690.130434782609
2002-02-28,3537.6015000000007
2002-03-31,3744.24461904762
2002-04-30,3658.6166363636366
2002-05-31,3503.454304347827
2002-06-30,3143.10955
2002-07-31,2810.647086956521
2002-08-31,2697.447909090909
2002-09-30,2450.1574285714287
2002-10-31,2384.731391304348
2002-11-30,2558.9978571428574
2002-12-31,2477.030227272727
2003-01-31,2377.384565217392
2003-02-28,2170.88175
2003-03-31,2086.463095238096
2003-04-30,2278.277454545455
2003-05-31,2303.0359545454558
2003-06-30,2443.3272857142856
2003-07-31,2459.84752173913
2003-08-31,2524.121333333333
2003-09-30,2553.312136363636
2003-10-31,2523.27
2003-11-30,2618.0584
2003-12-31,2702.168217391304
2004-01-31,2839.1245454545456
2004-02-29,2874.76395
2004-03-31,2829.004434782608
2004-04-30,2860.865227272727
2004-05-31,2728.588
2004-06-30,2792.1674090909087
2004-07-31,2730.3732272727275
2004-08-31,2646.928
2004-09-30,2748.6519545454544
2004-10-31,2794.3770476190475
2004-11-30,2882.6955909090907
2004-12-31,2926.000260869565
2005-01-31,2957.0262380952386
2005-02-28,3050.4234
2005-03-31,3065.768739130435
2005-04-30,3013.7489523809527
2005-05-31,3023.4701818181816
2005-06-30,3151.664545454545
2005-07-31,3267.100476190476
2005-08-31,3303.3191739130434
2005-09-30,3351.8449545454537
2005-10-31,3340.062571428572
2005-11-30,3404.894
2005-12-31,3550.055636363636
2006-01-31,3626.937727272727
2006-02-28,3743.78925
2006-03-31,3814.932173913044
2006-04-30,3834.60115
2006-05-31,3726.847347826086
2006-06-30,3528.655863636364
2006-07-31,3617.330476190477
2006-08-31,3743.863130434783
2006-09-30,3817.5700000000006
2006-10-31,3975.836590909092
2006-11-30,4052.803363636364
2006-12-31,4070.3542857142857
2007-01-31,4157.787391304348
2007-02-28,4230.1978
2007-03-31,4070.4695909090897
2007-04-30,4330.746476190476
2007-05-31,4444.827913043479
2007-06-30,4470.211523809524
2007-07-31,4449.024772727274
2007-08-31,4220.6253043478255
2007-09-30,4284.427949999999
2007-10-31,4430.749217391304
2007-11-30,4314.876272727272
2007-12-31,4386.043047619049
2008-01-31,4042.085826086957
2008-02-29,3776.5829047619054
2008-03-31,3587.3371904761893
2008-04-30,3768.1028181818174
2008-05-31,3812.7621818181824
2008-06-30,3527.8323333333337
2008-07-31,3298.657826086956
2008-08-31,3346.0433333333326
2008-09-30,3193.723636363636
2008-10-31,2627.276260869565
2008-11-30,2452.8717000000006
2008-12-31,2407.003391304348
2009-01-31,2344.9304545454547
2009-02-28,2159.84295
2009-03-31,1993.9261363636367
2009-04-30,2256.2652727272725
2009-05-31,2426.6816666666664
2009-06-30,2449.025
2009-07-31,2462.0956956521736
2009-08-31,2702.652857142857
2009-09-30,2827.9335454545458
2009-10-31,2865.4845454545457
2009-11-30,2843.7716666666665
2009-12-31,2907.646363636364
2010-01-31,2922.72275
2010-02-28,2727.4831
2010-03-31,2890.466304347825
2010-04-30,2937.3015000000005
2010-05-31,2642.1311428571425
2010-06-30,2641.6554090909094
2010-07-31,2669.4977727272726
2010-08-31,2712.232454545455
2010-09-30,2766.0879090909093
2010-10-31,2817.709285714286
2010-11-30,2809.6455909090914
2010-12-31,2825.5793478260875
2011-01-31,2900.6929523809526
2011-02-28,3015.73345
2011-03-31,2890.362
2011-04-30,2947.159684210525
2011-05-31,2885.768409090909
2011-06-30,2766.606045454546
2011-07-31,2743.4609523809527
2011-08-31,2297.212434782609
2011-09-30,2124.313318181818
2011-10-31,2312.2991428571427
2011-11-30,2239.580227272727
2011-12-31,2283.2952380952383
2012-01-31,2382.0659090909094
2012-02-29,2508.2432857142862
2012-03-31,2532.183363636363
2012-04-30,2340.778736842106
2012-05-31,2198.5030869565217
2012-06-30,2152.7450476190475
2012-07-31,2258.357863636364
2012-08-31,2424.500869565218
2012-09-30,2530.68895
2012-10-31,2503.468826086957
2012-11-30,2513.983227272727
2012-12-31,2625.553578947369
2013-01-31,2715.3045000000006
2013-02-28,2630.39735
2013-03-31,2680.1789500000004
2013-04-30,2636.346904761905
2013-05-31,2785.7691304347823
2013-06-30,2655.76035
2013-07-31,2686.5315217391303
2013-08-31,2803.8491818181824
2013-09-30,2864.5557142857133
2013-10-31,2988.8820000000005
2013-11-30,3055.9819047619053
2013-12-31,3010.19825
2014-01-31,3092.4018636363635
2014-02-28,3085.86525
2014-03-31,3093.9668571428574
2014-04-30,3171.53165
2014-05-31,3197.3986818181816
2014-06-30,3271.689857142857
2014-07-31,3192.30852173913
2014-08-31,3089.054523809523
2014-09-30,3233.3777727272727
2014-10-31,3029.5748695652173
2014-11-30,3126.14485
2014-12-31,3159.774904761904
2015-01-31,3207.258380952381
2015-02-28,3453.7856500000003
2015-03-31,3655.3062727272727
2015-04-30,3733.8009
2015-05-31,3617.8646666666655
2015-06-30,3521.7747727272726
2015-07-31,3545.0975652173915
2015-08-31,3444.4058571428573
2015-09-30,3165.4608181818185
2015-10-31,3275.4786818181824
2015-11-30,3439.5712857142858
2015-12-31,3288.6339545454543
2016-01-31,3030.5048
2016-02-29,2862.5876666666663
2016-03-31,3031.418476190476
2016-04-30,3031.183904761905
2016-05-31,2983.703272727273
2016-06-30,2910.8023636363646
2016-07-31,2919.079476190476
2016-08-31,2992.8667826086958
2016-09-30,3012.09259090909
2016-10-31,3042.3323809523813
2016-11-30,3026.395863636364
2016-12-31,3207.271238095238
2017-01-31,3298.7695909090908
2017-02-28,3293.0971
2017-03-31,3427.1039565217397
2017-04-30,3491.834111111111
2017-05-31,3601.872
2017-06-30,3547.8494090909094
2017-07-31,3483.894
2017-08-31,3451.341739130436
2017-09-30,3507.122380952381
2017-10-31,3614.745454545455
2017-11-30,3601.4313181818184
2017-12-31,3564.655263157895
2018-01-31,3612.163818181818
2018-02-28,3426.7103
2018-03-31,3374.2947142857142
2018-04-30,3457.6182500000004
2018-05-31,3537.08656521739
2018-06-30,3442.7680000000005
2018-07-31,3460.8866818181823
2018-08-31,3436.8280434782614
2018-09-30,3365.2269
2018-10-31,3244.549782608696
2018-11-30,3186.4038636363634
2018-12-31,3057.8388947368417
2019-01-31,3088.6543636363635
2019-02-28,3223.0708500000005
2019-03-31,3332.8553809523805
2019-04-30,3458.7648
2019-05-31,3385.4120869565213
2019-06-30,3405.9535
2019-07-31,3507.802782608697
2019-08-31,3355.323909090909
2019-09-30,3514.530952380953
2019-10-31,3551.222652173913
2019-11-30,3693.141047619048
2019-12-31,3715.3338
2020-01-31,3758.241181818182
2020-02-29,3734.92425
2020-03-31,2824.1784545454548
2020-04-30,2839.576
2020-05-31,2909.324428571428
2020-06-30,3237.3927272727265
2020-07-31,3316.2912173913046
2020-08-31,3297.667904761904
2020-09-30,3260.733318181818
2020-10-31,3180.390227272727
2020-11-30,3391.793619047619
2020-12-31,3530.946909090909
2021-01-31,3592.2347
2021-02-28,3667.143050000001
2021-03-31,3813.2930869565207
2021-04-30,3987.2866
2021-05-31,4003.5907142857136
2021-06-30,4105.808772727273
2021-07-31,4062.6065454545455
2021-08-31,4177.025909090909
2021-09-30,4158.286045454545
2021-10-31,4132.228952380952
2021-11-30,4306.355272727273
2021-12-31,4207.864
2022-01-31,4252.326047619048
2022-02-28,4084.0969999999993
2022-03-31,3796.599304347826
